,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
4635,310182,4,Unfurnished,5896,4,BHK,IndependentFloor
4636,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4637,401105,4,Unfurnished,5896,4,BHK,IndependentFloor
4638,381012,4,Unfurnished,5896,4,BHK,IndependentFloor
4639,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4640,25000,2,Semi-Furnished,750,2,BHK,IndependentFloor
4641,40000,3,Semi-Furnished,1350,3,BHK,IndependentFloor
4642,784485,4,Unfurnished,5569,4,BHK,Apartment
4643,546195,4,Unfurnished,6251,5,BHK,Villa
4644,401105,5,Unfurnished,6251,5,BHK,IndependentHouse
4645,301200,4,Unfurnished,5896,4,BHK,IndependentHouse
4646,429419,4,Unfurnished,6521,5,BHK,Villa
4647,301022,4,Unfurnished,6521,5,BHK,IndependentHouse
4648,401010,4,Unfurnished,6521,5,BHK,IndependentHouse
4649,404012,4,Unfurnished,6521,4,BHK,IndependentHouse
4650,401012,5,Unfurnished,6251,5,BHK,Villa
4651,362612,4,Unfurnished,6251,5,BHK,IndependentHouse
4652,564195,4,Unfurnished,6251,5,BHK,IndependentHouse
4653,401012,4,Unfurnished,6521,5,BHK,Apartment
4654,301102,4,Unfurnished,6521,4,BHK,Villa
4655,310100,4,Unfurnished,6521,5,BHK,Villa
4656,301012,4,Unfurnished,6521,5,BHK,IndependentHouse
4657,549185,4,Unfurnished,6521,5,BHK,IndependentHouse
4658,401015,4,Unfurnished,6251,5,BHK,IndependentHouse
4659,549419,4,Unfurnished,6521,5,BHK,Villa
4660,401015,4,Unfurnished,5896,4,BHK,Villa
4661,401015,4,Unfurnished,6521,5,BHK,IndependentHouse
4662,401102,4,Unfurnished,6251,5,BHK,Villa
4663,301022,4,Unfurnished,5896,4,BHK,IndependentHouse
4664,301015,4,Unfurnished,6521,5,BHK,Villa
4665,404015,4,Unfurnished,6251,5,BHK,Villa
4666,404015,4,Unfurnished,6251,5,BHK,Villa
4667,301011,4,Unfurnished,6251,5,BHK,Villa
4668,549195,4,Unfurnished,5896,4,BHK,Villa
4669,301010,4,Unfurnished,6521,5,BHK,Villa
4670,401011,4,Unfurnished,6521,4,BHK,IndependentHouse
4671,401015,4,Unfurnished,5896,4,BHK,Villa
4672,549191,4,Unfurnished,5896,4,BHK,Villa
4673,301012,4,Unfurnished,5562,4,BHK,Villa
4674,401012,4,Unfurnished,6251,4,BHK,Villa
4675,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4676,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4677,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4678,235592,4,Unfurnished,5621,4,BHK,IndependentFloor
4679,235562,4,Unfurnished,6521,4,BHK,IndependentFloor
4680,301022,3,Unfurnished,2856,3,BHK,IndependentFloor
4681,401015,4,Unfurnished,5896,4,BHK,IndependentHouse
4682,235562,4,Unfurnished,5562,4,BHK,IndependentFloor
4683,310202,3,Unfurnished,2856,3,BHK,IndependentFloor
4684,201202,3,Unfurnished,2856,3,BHK,IndependentFloor
4685,235925,4,Unfurnished,5586,4,BHK,IndependentFloor
4686,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4687,301101,4,Unfurnished,5896,4,BHK,IndependentFloor
4688,401012,4,Unfurnished,6521,5,BHK,IndependentFloor
4689,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4690,401102,4,Unfurnished,5896,4,BHK,Villa
4691,504015,4,Unfurnished,5896,4,BHK,IndependentHouse
4692,504105,4,Unfurnished,5896,4,BHK,Apartment
4693,640110,4,Unfurnished,5896,4,BHK,IndependentHouse
4694,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4695,401012,3,Unfurnished,2856,3,BHK,IndependentFloor
4696,301102,3,Unfurnished,3011,3,BHK,IndependentFloor
4697,308211,3,Unfurnished,2852,3,BHK,IndependentFloor
4698,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4699,504100,3,Unfurnished,2856,3,BHK,IndependentFloor
4700,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4701,301102,3,Unfurnished,2741,3,BHK,IndependentFloor
4702,381012,4,Unfurnished,5896,4,BHK,IndependentFloor
